station_id,station_name,date,water_level_m,latitude,longitude
STN_KOS_01,Kosi Barrage Birpur,2019-05-01,45.25,26.52,86.93
STN_KOS_01,Kosi Barrage Birpur,2019-05-02,45.24,26.52,86.93
STN_KOS_01,Kosi Barrage Birpur,2019-05-03,45.55,26.52,86.93
STN_KOS_01,Kosi Barrage Birpur,2019-05-04,46.21,26.52,86.93
STN_KOS_01,Kosi Barrage Birpur,2019-05-05,46.17,26.52,86.93
STN_KOS_01,Kosi Barrage Birpur,2019-05-06,46.12,26.52,86.93
STN_KOS_01,Kosi Barrage Birpur,2019-05-07,46.81,26.52,86.93
STN_KOS_01,Kosi Barrage Birpur,2019-05-08,47.16,26.52,86.93
STN_KOS_01,Kosi Barrage Birpur,2019-05-09,47.03,26.52,86.93
STN_KOS_01,Kosi Barrage Birpur,2019-05-10,47.29,26.52,86.93
STN_KOS_01,Kosi Barrage Birpur,2019-05-11,47.16,26.52,86.93
STN_KOS_01,Kosi Barrage Birpur,2019-05-12,47.02,26.52,86.93
STN_KOS_01,Kosi Barrage Birpur,2019-05-13,47.17,26.52,86.93
STN_KOS_01,Kosi Barrage Birpur,2019-05-14,46.45,26.52,86.93
STN_KOS_01,Kosi Barrage Birpur,2019-05-15,45.81,26.52,86.93
STN_KOS_01,Kosi Barrage Birpur,2019-05-16,45.64,26.52,86.93
STN_KOS_01,Kosi Barrage Birpur,2019-05-17,45.28,26.52,86.93
STN_KOS_01,Kosi Barrage Birpur,2019-05-18,45.46,26.52,86.93
STN_KOS_01,Kosi Barrage Birpur,2019-05-19,45.14,26.52,86.93
STN_KOS_01,Kosi Barrage Birpur,2019-05-20,44.63,26.52,86.93
STN_KOS_01,Kosi Barrage Birpur,2019-05-21,45.27,26.52,86.93
STN_KOS_01,Kosi Barrage Birpur,2019-05-22,45.23,26.52,86.93
STN_KOS_01,Kosi Barrage Birpur,2019-05-23,45.3,26.52,86.93
STN_KOS_01,Kosi Barrage Birpur,2019-05-24,44.78,26.52,86.93
STN_KOS_01,Kosi Barrage Birpur,2019-05-25,44.61,26.52,86.93
STN_KOS_01,Kosi Barrage Birpur,2019-05-26,44.71,26.52,86.93
STN_KOS_01,Kosi Barrage Birpur,2019-05-27,44.3,26.52,86.93
STN_KOS_01,Kosi Barrage Birpur,2019-05-28,44.5,26.52,86.93
STN_KOS_01,Kosi Barrage Birpur,2019-05-29,44.31,26.52,86.93
STN_KOS_01,Kosi Barrage Birpur,2019-05-30,44.24,26.52,86.93
STN_KOS_01,Kosi Barrage Birpur,2019-05-31,44.05,26.52,86.93
STN_KOS_01,Kosi Barrage Birpur,2019-06-01,44.84,26.52,86.93
STN_KOS_01,Kosi Barrage Birpur,2019-06-02,44.89,26.52,86.93
STN_KOS_01,Kosi Barrage Birpur,2019-06-03,44.51,26.52,86.93
STN_KOS_01,Kosi Barrage Birpur,2019-06-04,44.89,26.52,86.93
STN_KOS_01,Kosi Barrage Birpur,2019-06-05,44.45,26.52,86.93
STN_KOS_01,Kosi Barrage Birpur,2019-06-06,44.59,26.52,86.93
STN_KOS_01,Kosi Barrage Birpur,2019-06-07,43.85,26.52,86.93
STN_KOS_01,Kosi Barrage Birpur,2019-06-08,43.37,26.52,86.93
STN_KOS_01,Kosi Barrage Birpur,2019-06-09,43.5,26.52,86.93
STN_KOS_01,Kosi Barrage Birpur,2019-06-10,43.85,26.52,86.93
STN_KOS_01,Kosi Barrage Birpur,2019-06-11,43.97,26.52,86.93
